Date,Tweet,Sentiment,Sentiment_Score
2023-12-21,Product quality exceeded expectations. Brilliant!,Negative,-0.75
2023-12-04,Great experience with customer service. Very helpful!,Positive,0.73
2023-12-02,Product quality exceeded expectations. Brilliant!,Positive,0.78
2023-12-15,Exceptional support team! Solved my issue instantly.,Positive,0.87
2023-12-05,Highly recommend this to everyone. Great value!,Negative,-0.99
2023-12-03,Great experience with customer service. Very helpful!,Positive,0.88
2023-12-16,Worst experience ever. Completely dissatisfied.,Positive,0.95
2023-12-16,Great experience with customer service. Very helpful!,Positive,0.74
2023-12-05,Exceptional support team! Solved my issue instantly.,Negative,-1.0
2023-12-20,Highly recommend this to everyone. Great value!,Negative,-0.75
2023-12-12,Highly recommend this to everyone. Great value!,Negative,-0.82
2023-12-20,Exceptional support team! Solved my issue instantly.,Negative,-0.95
2023-12-15,Can't believe the delay in delivery. Very disappointed.,Positive,0.96
2023-12-01,Enjoying the new update. Kudos to the team!,Negative,-0.73
2023-12-14,This feature update is a game changer. Love it!,Positive,0.76
2023-12-02,Worst experience ever. Completely dissatisfied.,Positive,0.85
2023-12-19,Had to return my purchase. Not satisfied.,Negative,-0.97
2023-12-05,Great experience with customer service. Very helpful!,Negative,-0.97
2023-12-20,Great experience with customer service. Very helpful!,Positive,0.85
2023-12-02,Great experience with customer service. Very helpful!,Negative,-0.86
2023-12-09,Fast shipping and excellent packaging. Impressed!,Negative,-0.79
2023-12-14,Worst experience ever. Completely dissatisfied.,Positive,0.74
2023-12-21,The sale event was fantastic! Got great deals.,Negative,-0.72
2023-12-09,Love the new product launch! Amazing features.,Negative,-0.88
2023-12-02,This feature update is a game changer. Love it!,Positive,0.98
2023-12-02,Worst experience ever. Completely dissatisfied.,Positive,0.88
2023-12-05,Great experience with customer service. Very helpful!,Negative,-0.97
2023-12-21,Product quality exceeded expectations. Brilliant!,Positive,0.88
2023-12-04,Exceptional support team! Solved my issue instantly.,Positive,0.98
2023-12-20,Fast shipping and excellent packaging. Impressed!,Negative,-0.76
2023-12-16,The app keeps crashing. Really annoying.,Negative,-0.76
2023-12-19,The sale event was fantastic! Got great deals.,Negative,-0.87
2023-12-17,Exceptional support team! Solved my issue instantly.,Positive,0.79
2023-12-02,The app keeps crashing. Really annoying.,Positive,0.92
2023-12-21,Can't believe the delay in delivery. Very disappointed.,Negative,-0.98
2023-12-09,Highly recommend this to everyone. Great value!,Positive,0.73
2023-12-10,Had to return my purchase. Not satisfied.,Positive,0.8
2023-12-09,Had to return my purchase. Not satisfied.,Positive,0.75
2023-12-14,Exceptional support team! Solved my issue instantly.,Positive,0.98
2023-12-18,Love the new product launch! Amazing features.,Positive,0.79
